,NIDID,DamID,River,Purposes,Year_compl,Max_Disch,Norm_stor,Hydroseq,UpHydroseq,DnHydroseq
0,CO00013,3818.0,LOST CREEK-TR,I,1962.0,310.0,30.0,550126172.0,550201446.0000001,550100015.0
1,CO00054,3824.0,LOST CREEK-TR,IS,0.0,2580.0,1725.0,550042993.0000001,550044416.0000001,550041689.9999999
2,CO01106,4343.0,LOST CREEK-TR,I,1914.0,14700.0,6368.0,550075101.9999999,550084955.9999999,550068063.0000001
3,,,,,,,,550037589.0,550038487.0000001,550036753.9999999
4,,,,,,,,550038487.0000001,550039449.9999999,550037589.0
5,,,,,,,,550039449.9999999,550040521.0,550038487.0000001
6,,,,,,,,550041689.9999999,550042993.0000001,550040521.0
7,,,,,,,,550040521.0,550041689.9999999,550039449.9999999
8,,,,,,,,550046027.0000001,550062788.0,550044416.0000001
9,,,,,,,,550062788.0,550068063.0000001,550046027.0000001
10,,,,,,,,550068063.0000001,550075107.9999999,550062788.0
11,,,,,,,,550126137.0,550201265.9999999,550099998.0
12,,,,,,,,550201265.9999999,0.0,550126137.0
13,,,,,,,,550126176.0,550201457.9999999,550037589.0
14,,,,,,,,550201460.0000001,0.0,550126176.0
15,,,,,,,,550201457.9999999,0.0,550126176.0
16,,,,,,,,550201455.9999999,0.0,550038487.0000001
17,,,,,,,,550047868.9999999,550049960.9999999,550046027.0000001
18,,,,,,,,550049960.9999999,550052379.0000001,550047868.9999999
19,,,,,,,,550058649.0,550062781.0,550055225.9999999
20,,,,,,,,550052379.0000001,550055225.9999999,550049960.9999999
21,,,,,,,,550062781.0,550075104.0,550058649.0
22,,,,,,,,550055225.9999999,550058649.0,550052379.0000001
23,,,,,,,,550126171.0,550126708.0000001,550100012.0
24,,,,,,,,550068064.0000001,550075113.0,550062781.0
25,,,,,,,,550075113.0,550084956.9999999,550068064.0000001
26,,,,,,,,550126708.0000001,0.0,550126171.0
27,,,,,,,,550084956.9999999,550100012.0,550075113.0
28,,,,,,,,550100012.0,550126171.0,550084956.9999999
29,,,,,,,,550126164.0000001,550201449.9999999,550100017.0
30,,,,,,,,550201449.9999999,0.0,550126164.0000001
31,,,,,,,,550084969.0,550100017.0,550047868.9999999
32,,,,,,,,550100017.0,550126164.0000001,550084969.0
33,,,,,,,,550084968.0,550100015.0,550075104.0
34,,,,,,,,550075104.0,550084968.0,550062781.0
35,,,,,,,,550100015.0,550126172.0,550084968.0
36,,,,,,,,550201446.0000001,0.0,550126172.0
37,,,,,,,,550084955.9999999,550100024.0,550075101.9999999
38,,,,,,,,550100024.0,550126166.0,550084955.9999999
39,,,,,,,,550126166.0,550201393.0,550100024.0
40,,,,,,,,550201393.0,0.0,550126166.0
41,,,,,,,,550201267.0,0.0,550126137.0
42,,,,,,,,550201398.0000001,0.0,550099998.0
43,,,,,,,,550126175.0,550201451.0000001,550100018.9999999
44,,,,,,,,550201451.0000001,0.0,550126175.0
45,,,,,,,,550201454.0000001,0.0,550126175.0
46,,,,,,,,550075107.9999999,550084964.9999999,550068063.0000001
47,,,,,,,,550099998.0,550126137.0,550084964.9999999
48,,,,,,,,550084964.9999999,550099998.0,550075107.9999999
49,,,,,,,,550100018.9999999,550126175.0,550042993.0000001
50,,,,,,,,550044416.0000001,550046027.0000001,550042993.0000001
