,DAM_NAME,NIDID,LONGITUDE,LATITUDE,YEAR_COMPLETED,MAX_STORAGE,NORMAL_STORAGE,COMID,Norm_stor,Max_stor,Year_compl,Purposes,geometry,Dam_name,NABD_NIDID
67078,ALTUS AUXILIARY DIKE,OK82901,-99.278578,34.904043,1945,168120,165964734,0,,,,,,,OK02500
67079,ALTUS EAST DIKE,OK82902,-99.281953,34.890145,1945,168120,165964734,0,,,,,,,
67080,ALTUS LUGERT DIKE,OK82903,-99.295581,34.885388,1945,168120,165964734,0,,,,,,,
67081,ALTUS NORTH DIKE,OK82904,-99.297991,34.889871,1945,168120,165964734,0,,,,,,,
67082,ALTUS SOUTH DIKE,OK82905,-99.29483,34.883223,1945,168120,165964734,0,,,,,,,
67083,ARBUCKLE DIKE 1,OK82906,-97.02999878,34.43999863,1966,226450,134239628.4,0,,,,,,,
67084,ARBUCKLE DIKE 2,OK82907,-97.02999878,34.43999863,1966,226450,134239628.4,0,,,,,,,
4689,BUENA VISTA,CA00717,-119.2355,35.1887,1890,0,252863400,0,,,,,,,CA00721
10209,BURTON,GA00864,-83.5402,34.7939,1927,108000,133215840,0,,,,,,,GA00847
49720,CHATUGE,NC00391,-83.79130302,35.01771412,1942,285552,279506568,0,,,,,,,NC05537
86628,CLAYTOR,VA155002,-80.5853,37.0753,1939,232000,286167360,0,,,,,,,VA15502
87523,CUSHMAN NO. 1 SPILLWAY,WA00145,-123.2389,47.4217,1990,482757,559198158,0,,,,,,,WA00604
2517,DEGRAY SADDLE DIKE,AR00152,-93.00333333,34.23861111,1969,1377000,807559356,0,,,,,,,AR00151
9369,G205 CONTROL STRUCTURE,FL74003,-80.716698,26.333,1953,132000,101762100,0,,,,,,,
9370,G206 CONTROL STRUCTURE,FL74004,-80.652397,26.333401,1953,132000,101762100,0,,,,,,,
9253,G335 CONTROL STRUCTURE,FL36008,-80.51178,26.37928,1966,658000,609339120,0,,,,,,,
9255,G338 CONTROL STRUCTURE,FL36010,-80.445351,26.470039,1999,658000,296035200,0,,,,,,,
9262,G94B CONTROL STRUCTURE,FL36017,-80.22158,26.481779,1953,494000,402114480,0,,,,,,,
9263,G94C CONTROL STRUCTURE,FL36018,-80.232803,26.541401,1953,494000,394713600,0,,,,,,,
84421,GATHRIGHT DAM,VA005001,-79.951668,37.955002,1978,421500,152581476,0,,,,,,,VA00501
90869,GLENDO DIKE NO. 1,WY01485,-104.9875,42.4711,1958,1124000,656828100,0,,,,,,,
90870,GLENDO DIKE NO. 2,WY01486,-104.9919,42.47224,1958,1124000,645726780,0,,,,,,,
90871,GLENDO DIKE NO. 3,WY01487,-104.9666667,42.46666667,1958,1124000,645726780,0,,,,,,,
86125,JOHN H KERR DAM,VA117001,-78.29667,36.59667,1953,3363500,1836158328,0,,,,,,,VA11701
29338,KENTUCKY,KY05017,-88.27010506,37.01249832,1944,7535400,7558111696,0,,,,,,,KY15701
86747,LAKE ANNA DAM AND RESERVOIR,VA177002,-77.7134,38.0127,1972,487000,376211400,0,,,,,,,VA17702
