,Hydroseq,COMMENT,NIDID,COMID,UNIQUE_STR,newX,step,newY,RecordID,Dam_name,Dam_former,STATEID,Section,County,River,City,Distance,Owner_name,Owner_type,Dam_type,Core,Foundation,Purposes,Year_compl,Year_modif,Dam_length,Dam_height,NID_height,Hazard,EAP,Inspection,Outlet_gat,Volume,State,Dam_Name2,Designer,Private,Str_Height,Hyd_Height,Max_Disch,Max_stor,NID_stor,Surf_area,Drain_area,Insp_Freq,St_reg,St_reg_ag,Spill_type,Num_locks,Len_locks,Wid_locks,Source,Condition,Cond_Date,Cond_desc,Spill_wid,geometry,DamID,Grand_flag,GRAND_ID,NABD_ID,LENGTHKM,REACHCODE,FTYPE,StartFlag,UpHydroseq,DnHydroseq,QC_MA,QE_MA,Norm_stor,DamCount,Coordinates
0,550037589.0,,,225523.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.946,10.0,StreamRiver,0.0,550038487.0,550036754.0,6.916,6.916,0.0,0,"LINESTRING ZM (-104.410590281707 40.1729874043101 0 100,-104.410292015041 40.1730332709769 0 99.34231,-104.409636015042 40.173582670976 0 97.24278,-104.40898008171 40.1746584043077 0 93.89635,-104.408294681711 40.1761688043053 0 89.38991,-104.407698615045 40.1771530043038 0 86.33194,-104.407131881713 40.1778624709693 0 83.98728,-104.403284481719 40.1807696709649 0 72.31313,-104.402419815053 40.1820284709628 0 68.30381,-104.401793481721 40.1825092042954 0 66.38858,-104.400898481722 40.1828754709614 0 64.19578,-104.400272015057 40.1828528042949 0 62.84002,-104.399675215057 40.1826926042951 0 61.47321,-104.398809815059 40.1820292042962 0 58.82861,-104.398033681727 40.1810454042977 0 55.58834,-104.397228081728 40.1803818709654 0 53.03325,-104.396303081729 40.179992870966 0 50.75288,-104.39579588173 40.179992870966 0 49.6564,-104.395229081731 40.1801760709657 0 48.32678,-104.394960681731 40.1804964709652 0 47.25361,-104.394871281732 40.1807482042982 0 46.51845,-104.394841681732 40.1818238042964 0 43.48706,-104.394483815065 40.1823044042957 0 41.92748,-104.393946881733 40.1826706042953 0 40.37443,-104.392186681736 40.183220070961 0 36.26641,-104.39167961507 40.1835404709605 0 34.84636,-104.39153041507 40.1838380042934 0 33.9481,-104.391560281737 40.1840896709596 0 33.23605,-104.39185881507 40.1843642042926 0 32.22866,-104.392724015068 40.1847074709587 0 30.12307,-104.392694281735 40.1849590709584 0 29.41123,-104.392396015069 40.185371204291 0 28.08298,-104.392455681735 40.1856456709573 0 27.29894,-104.393112481734 40.1867670042889 0 23.83503,-104.393232081734 40.1880942042868 0 20.08647,-104.392665215068 40.1888952042855 0 17.51833,-104.392008881736 40.1894672709512 0 15.3710200000014,-104.390308281739 40.1904286042831 0 10.8049,-104.389741415073 40.1908634709492 0 9.07207,-104.389473015073 40.1912754042818 0 7.77446,-104.389353615073 40.191664470948 0 6.64822,-104.389085215074 40.1920306042807 0 5.46464,-104.388757081741 40.1922824042801 0 4.46144,-104.388339215075 40.19241980428 0 3.47877,-104.386966681744 40.1926944042796 0 0.412890000001198,-104.386847415077 40.1928088709462 0 0)"
1,550038487.0,,,225587.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,9.125,10.0,StreamRiver,0.0,550039450.0,550037589.0,6.369,6.369,0.0,0,"LINESTRING ZM (-104.450976681645 40.113196204403 0 100,-104.450441281645 40.1141118710682 0 98.77529,-104.44948861498 40.1151422043999 0 97.23345,-104.448476681648 40.1166074043977 0 95.20982,-104.448120881649 40.1183468043951 0 93.06151,-104.447972014982 40.1185756710613 0 92.74936,-104.447138214984 40.1191940710604 0 91.66324,-104.446602281651 40.1200640043924 0 90.48902,-104.446244881652 40.1202472710588 0 90.08636,-104.443473481656 40.1210498710575 0 87.31118,-104.442579614991 40.1214394043902 0 86.34822,-104.441596814992 40.1223782043888 0 84.87854,-104.439304014996 40.1249882043846 0 81.0372,-104.438797614997 40.1254690710506 0 80.28266,-104.437993214998 40.126087404383 0 79.21629,-104.436861015 40.1267516043819 0 77.88141,-104.435728681668 40.1273014043812 0 76.62627,-104.435490415002 40.1275990043806 0 76.20004,-104.435193281669 40.1287662043787 0 74.74895,-104.43468728167 40.129704671044 0 73.50966,-104.434837215003 40.1306428710426 0 72.35635,-104.435076281669 40.1312378043751 0 71.59669,-104.435046881669 40.1318098710407 0 70.89815,-104.434243615004 40.133869804371 0 68.27454,-104.433678215005 40.1351288043689 0 66.64965,-104.433321815005 40.1367308043664 0 64.6667,-104.432488081673 40.1381042043643 0 62.81792,-104.431892215007 40.1387680710299 0 61.83423,-104.431505415008 40.1398210043617 0 60.49941,-104.431477881675 40.1425898710241 0 57.12093,-104.431895881674 40.1433448710228 0 56.11999,-104.433178815005 40.1443054043548 0 54.44146,-104.433447481672 40.144717204354 0 53.87952,-104.433478215005 40.145838471019 0 52.51113,-104.433627681671 40.1462732710183 0 51.96246,-104.43446328167 40.147165271017 0 50.62194,-104.434553215003 40.1475770710163 0 50.11248,-104.43422568167 40.1481036710154 0 49.40049,-104.433659281671 40.1483098043486 0 48.81341,-104.432705081673 40.1484476043482 0 47.90407,-104.432287815007 40.1486538043479 0 47.43929,-104.432079281674 40.1490200710141 0 46.95158,-104.432139281674 40.1493632710136 0 46.52908,-104.432706281673 40.1498664043461 0 45.71739,-104.433273015005 40.1501406710124 0 45.08994,-104.433183881672 40.1504154043453 0 44.7444900000014,-104.432528615006 40.1513768043437 0 43.42063,-104.431842881674 40.1518118710098 0 42.5874300000014,-104.430620615009 40.1522014710092 0 41.3479900000011,-104.43014341501 40.1521332043425 0 40.8933900000011,-104.429815081677 40.1517670710098 0 40.35106,-104.429307881678 40.1514928043435 0 39.77002,-104.428920281679 40.1515386710103 0 39.40274,-104.428741481679 40.1516532043433 0 39.18464,-104.428622415013 40.1519508043429 0 38.80479,-104.428682615012 40.1527516710083 0 37.82601,-104.42835488168 40.1532552043408 0 37.13923,-104.42805688168 40.1534154710073 0 36.79847,-104.427669081681 40.1533242043407 0 36.41861,-104.426505415016 40.1524780043421 0 34.91741,-104.426207081683 40.1524552710088 0 34.63665,-104.425789815017 40.1526614043418 0 34.17193,-104.425492081684 40.1534166043405 0 33.20923,-104.425522615017 40.1543776710057 0 32.03626,-104.425642081684 40.1548124710051 0 31.49408,-104.425672415017 40.1555218710039 0 30.62805,-104.425136215018 40.156368804336 0 29.47914,-104.424510081686 40.1567122710022 0 28.75844,-104.423108815021 40.1572620710014 0 27.2847,-104.42188648169 40.1581092710001 0 25.74239,-104.421260415024 40.1582926043331 0 25.1149,-104.419739281693 40.158361804333 0 23.68797,-104.419113081694 40.1585678709993 0 23.0499600000012,-104.417026281697 40.1599186709972 0 20.4935900000012,-104.415893081699 40.1604226043298 0 19.2672,-104.413268681703 40.1608810709956 0 16.74686,-104.412851281704 40.1610414043287 0 16.30979,-104.412553215038 40.1612702709951 0 15.91497,-104.412225415038 40.1619112043273 0 15.07487,-104.412166015038 40.1625062043265 0 14.34677,-104.411987215038 40.1628036709927 0 13.94707,-104.411182281706 40.163467604325 0 12.84058,-104.41103321504 40.1637650709912 0 12.45172,-104.41106341504 40.1643370709903 0 11.75323,-104.411152881706 40.16449727099 0 11.5405700000013,-104.41118321504 40.1651838043224 0 10.70243,-104.41103421504 40.1655728709884 0 10.20764,-104.410467681707 40.1662596043207 0 9.21594,-104.410467881707 40.1667858709865 0 8.57383,-104.411542415039 40.1681586709844 0 6.6199,-104.411632215039 40.1685248043171 0 6.16533,-104.411811215039 40.1687306709834 0 5.86337,-104.411900815039 40.1690968043163 0 5.40883,-104.412438281704 40.1700348709813 0 4.15853,-104.412438681704 40.1709502043133 0 3.04171000000133,-104.411753215039 40.171865804312 0 1.75334,-104.410679681707 40.1728500043105 0 0.18738,-104.410590281707 40.1729874043101 0 0)"
2,550039450.0,,,225615.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.908,10.0,StreamRiver,0.0,550040521.0,550038487.0,5.481,5.481,0.0,0,"LINESTRING ZM (-104.456021481637 40.0940160044327 0 70.89776,-104.456112081637 40.0950684710978 0 68.03093,-104.456500081636 40.0956404044304 0 66.27801,-104.457514414968 40.0966236710954 0 62.86811,-104.458200814967 40.0976758710938 0 59.66927,-104.459126814965 40.0995288710909 0 54.27453,-104.459336214965 40.1001694710898 0 52.47935,-104.459516414965 40.101336471088 0 49.28525,-104.459519814964 40.1041282710838 0 41.69721,-104.459759214964 40.1049060710826 0 39.5249,-104.460057614964 40.1052034710822 0 38.50439,-104.46059428163 40.1054090044151 0 37.25248,-104.460803214963 40.1056148044149 0 36.54317,-104.460773681629 40.1059810044143 0 35.54594,-104.46053568163 40.1062328710805 0 34.70008,-104.459642614964 40.1070574044126 0 31.78492,-104.459494014965 40.1074006710787 0 30.80171,-104.459435081631 40.1080414710777 0 29.05569,-104.459137614965 40.1084764710771 0 27.72023,-104.457886814967 40.109301204409 0 24.27894,-104.457053081635 40.1099424710748 0 21.81584,-104.456635814969 40.1099200044082 0 20.94267,-104.45615841497 40.1093710710756 0 19.1484700000015,-104.455681081637 40.1089822710761 0 17.69603,-104.455293481638 40.1088682710765 0 16.82962,-104.454280214973 40.1088918044098 0 14.71346,-104.453416081641 40.1090984044093 0 12.8242,-104.452850214975 40.1093962044089 0 11.39224,-104.452433414976 40.1097854710749 0 10.02242,-104.452225414976 40.1103578044074 0 8.40738,-104.451899214976 40.1118454044051 0 4.30719,-104.451631414977 40.1123262044044 0 2.88584,-104.451035881644 40.1127842044036 0 1.1266,-104.450976681645 40.113196204403 0 0)"
3,550041690.0,,,225643.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.42700000000000005,10.0,StreamRiver,0.0,550042993.0,550040521.0,4.513999999999999,4.513999999999999,0.0,0,"LINESTRING ZM (-104.458245881633 40.0853184044464 0 100,-104.458097281633 40.0857074711124 0 98.89794,-104.458128214967 40.0866686711109 0 96.28463,-104.457890081634 40.0869206044437 0 95.43837,-104.457473281634 40.0871040044435 0 94.43538,-104.456520014969 40.0872648044433 0 92.39738,-104.455149681638 40.0873572044431 0 89.5249)"
4,550040521.0,,,226887.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.767,10.0,Connector,0.0,550041690.0,550039450.0,4.535,4.535,0.0,0,"LINESTRING ZM (-104.455149681638 40.0873572044431 0 89.5249,-104.454785481639 40.0876092711093 0 88.5013,-104.456021481637 40.0940160044327 0 70.89776)"
5,550046027.0,,,225733.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,4.162,10.0,StreamRiver,0.0,550062788.0,550044416.0,4.099,4.099,0.0,0,"LINESTRING ZM (-104.462730481626 40.0504852711671 0 100,-104.462374281627 40.0514010044989 0 97.44739,-104.462047814961 40.0523166044975 0 94.91193,-104.460976814962 40.0531870044962 0 91.71231,-104.460917481629 40.0533472044959 0 91.26747,-104.460203414963 40.0538740711618 0 89.23555,-104.459608081631 40.0540804044948 0 87.89494,-104.457136681635 40.0543338711611 0 82.77661,-104.455975681637 40.054609404494 0 80.28227,-104.455707881637 40.0548156044936 0 79.50414,-104.455678481637 40.0551816711597 0 78.52464,-104.456542614969 40.0555930044924 0 76.43814,-104.457466814968 40.0563704044912 0 73.62569,-104.458152681633 40.0571938044899 0 71.01456,-104.458093614967 40.0575828044894 0 69.96862,-104.457885414967 40.0578118044889 0 69.2225,-104.456873414969 40.0582930711549 0 66.77968,-104.456695081636 40.0586364711544 0 65.79221,-104.456666081636 40.0592542711535 0 64.14119,-104.456845214969 40.0595974711529 0 63.15361,-104.456816014969 40.0601008711521 0 61.80785,-104.456399814969 40.0607420044845 0 59.8943,-104.455060814971 40.0617270044829 0 56.0898,-104.455001481638 40.0619788044825 0 55.40638,-104.455568014971 40.0625276711482 0 53.5353,-104.455508814971 40.0628022711479 0 52.79193,-104.455241014971 40.0630084044809 0 52.01398,-104.454615414972 40.0629172711478 0 50.70703,-104.452173681643 40.0633764711471 0 45.54736,-104.451965414976 40.0635368711467 0 44.9421800000011,-104.451965681643 40.0638114711463 0 44.20881,-104.452561681642 40.0642000711458 0 42.60457,-104.452593081642 40.0656648044769 0 38.69221,-104.452862214975 40.0666486711419 0 36.00718,-104.452803814975 40.0675640044739 0 33.55969,-104.452268481643 40.0683652711392 0 31.15418,-104.451941081643 40.0686400711389 0 30.15912,-104.451643414977 40.0687546711385 0 29.47581,-104.451286014977 40.0687320711386 0 28.73981,-104.450928281645 40.0685034711391 0 27.78493,-104.450689814978 40.0682290044728 0 26.90354,-104.450153281646 40.0679318711399 0 25.5462200000013,-104.448932081648 40.0679326044734 0 23.03982,-104.448723681648 40.0680930044731 0 22.43446,-104.448753881648 40.0685048711391 0 21.33275,-104.449977414979 40.0705408044693 0 15.34356,-104.450573814978 40.0712726711348 0 13.03735,-104.450693414978 40.0715472044676 0 12.26417,-104.450664014978 40.0718904711339 0 11.34543,-104.450425814979 40.0721194711335 0 10.56247,-104.449979414979 40.0723258044665 0 9.49338,-104.44989021498 40.0725088711328 0 8.97132,-104.449920214979 40.0727148044658 0 8.4179,-104.450158614979 40.0728976711323 0 7.7266,-104.451827081643 40.0731940711318 0 4.21216,-104.452363614976 40.0734912711313 0 2.8548,-104.452870614975 40.0740172711305 0 1.10666,-104.452930614975 40.0744290711299 0 0)"
6,550062788.0,,,225907.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,6.03,10.0,StreamRiver,0.0,550068063.0,550046027.0,3.142,3.142,0.0,0,"LINESTRING ZM (-104.468918081617 40.0020798712421 0 99.10683,-104.46897781495 40.0022172045752 0 98.841,-104.468979081617 40.0032012712404 0 97.03462,-104.46859321495 40.0039110712393 0 95.62235,-104.466512214954 40.0053772712371 0 91.63765,-104.466096214954 40.0058582045696 0 90.57728,-104.465858814955 40.0063390045688 0 89.63319,-104.465533214955 40.0077808712333 0 86.94682,-104.465564481622 40.0089250712315 0 84.84602,-104.466132081621 40.0105266045624 0 81.79892,-104.466310881621 40.0107552712287 0 81.3091,-104.46690968162 40.013340804558 0 76.4883,-104.46697188162 40.0153316045549 0 72.83286,-104.467241014952 40.0163840045533 0 70.86402,-104.467182481619 40.0170936712188 0 69.55872,-104.46685608162 40.017894804551 0 68.01763,-104.465935281621 40.0193372712153 0 65.06791,-104.464954681623 40.0206194712134 0 62.33734,-104.464776681623 40.021031604546 0 61.54018,-104.464958014956 40.0231368045427 0 57.66733,-104.465286681622 40.0240976712079 0 55.84353,-104.466359881621 40.0253098045394 0 53.15173,-104.46644988162 40.0258130712053 0 52.21923,-104.466242614954 40.0266600045372 0 50.63728,-104.466392281621 40.0272548712031 0 49.52507,-104.466541614954 40.0275522045359 0 48.93998,-104.467733481618 40.0286268712009 0 46.34734,-104.468002281618 40.0291988712001 0 45.23091,-104.468092414951 40.0298624045324 0 44.00628,-104.468003814951 40.0303202045317 0 43.1566700000012,-104.467736414952 40.0307322711977 0 42.31133,-104.466606614954 40.031785871196 0 39.80466,-104.465624881622 40.0323358045285 0 38.09029,-104.464494214957 40.0327716045278 0 36.30516,-104.464196881624 40.0330692711941 0 35.6161900000011,-104.463989081624 40.0334584711934 0 34.8439,-104.464139281624 40.034556804525 0 32.81665,-104.464856014956 40.0362496711891 0 29.54866,-104.465452681622 40.0371874711877 0 27.63227,-104.465453681622 40.0379884045198 0 26.16204,-104.464978414956 40.038789671185 0 24.54549,-104.465068481623 40.0393616711842 0 23.4878400000011,-104.466082281621 40.0406424711822 0 20.73563,-104.466172214954 40.0410772045149 0 19.92759,-104.465815614955 40.0416038045141 0 18.8377900000014,-104.465667414955 40.0420616045134 0 17.9718,-104.465728281622 40.0431142711784 0 16.03758,-104.464925614956 40.0440302711771 0 14.01019,-104.464539681623 40.0449688711755 0 12.2032400000012,-104.464421414957 40.045564004508 0 11.09812,-104.464213281624 40.0458386711743 0 10.51462,-104.463945481624 40.045953271174 0 10.08211,-104.463082081626 40.0460456045071 0 8.852,-104.462993214959 40.0463202045068 0 8.33257000000117,-104.463708614958 40.0470062045058 0 6.71862000000147,-104.463858014958 40.0473950711718 0 5.9743200000014,-104.463829281625 40.0481732045039 0 4.54537,-104.463502814958 40.0490200711693 0 2.92401,-104.462789614959 40.0501648711676 0 0.59403,-104.462730481626 40.0504852711671 0 0)"
7,550068063.0,,,226895.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.054000000000000006,10.0,Connector,0.0,550075108.0,550062788.0,2.6210000000000004,2.6210000000000004,0.0,0,"LINESTRING ZM (-104.469393814949 40.0017592045759 0 100,-104.468918081617 40.0020798712421 0 99.10683)"
8,550126137.0,,,229325.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.93,10.0,StreamRiver,0.0,550201266.0,550099998.0,1.179,1.179,0.0,0,"LINESTRING ZM (-104.47524681494 39.9781994712792 0 100,-104.475547681606 39.9806936046087 0 85.54351,-104.47548941494 39.9815634046074 0 80.5169,-104.47537101494 39.9819296712734 0 78.33862,-104.475133481607 39.9823188712729 0 75.85704,-104.47516481494 39.983463071271 0 69.25195,-104.475016281607 39.9836004712708 0 68.22049,-104.474659681608 39.9838984046037 0 65.88289,-104.473648881609 39.9843568712696 0 60.67233,-104.473381614943 39.984723271269 0 58.24739,-104.47341188161 39.9851580046017 0 55.73478,-104.473561081609 39.9854554046013 0 53.89493,-104.473531814943 39.9857756712674 0 52.04199,-104.473472414943 39.9859130712672 0 51.20628,-104.47302668161 39.9862566712667 0 48.40445,-104.471897014945 39.9868068712659 0 42.46747,-104.470738081614 39.9878376712643 0 34.60127,-104.470322281614 39.9883872045968 0 30.9314,-104.470233414948 39.988661871263 0 29.29782,-104.470234081615 39.9892110712622 0 26.12817,-104.470502681614 39.9898974045943 0 21.99141,-104.470443681614 39.9902178712605 0 20.12341,-104.470206081615 39.9905156045934 0 18.1070400000015,-104.469819481615 39.9906302712598 0 16.26726,-104.46907581495 39.9907910712597 0 12.8372,-104.468302881618 39.9912494045923 0 8.50404,-104.467916281618 39.9913640712587 0 6.66427,-104.467410481619 39.9913416045922 0 4.41463,-104.46693408162 39.9910674045926 0 1.77284,-104.466576814954 39.9909302712595 0 0)"
9,550201266.0,,,230583.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,9.912,10.0,StreamRiver,1.0,0.0,550126137.0,0.91,0.91,0.0,0,"LINESTRING ZM (-104.520937814869 39.9142988047118 0 100,-104.519926081537 39.9150760047106 0 98.76453,-104.518973814872 39.915830271376 0 97.58351,-104.518051014874 39.9168134713744 0 96.22163,-104.517604081541 39.9174310047068 0 95.42799,-104.517276414875 39.9179570047061 0 94.77308,-104.517037681542 39.9185288713718 0 94.09876,-104.516768881542 39.9193066713706 0 93.19524,-104.516202481543 39.9203590047023 0 91.91647,-104.515874814877 39.9208392713683 0 91.30745,-104.515815014877 39.9210222713679 0 91.09561,-104.515843281544 39.9219148047 0 90.0934,-104.515604681544 39.9223722713659 0 89.53999,-104.515217481545 39.9228982046984 0 88.8613,-104.514681814879 39.9233326046977 0 88.18881,-104.51367061488 39.9236978046972 0 87.22327,-104.51161848155 39.9243364713629 0 85.3098,-104.508643681555 39.9257980713606 0 82.25928,-104.508167681556 39.9260492713602 0 81.76044,-104.506056081559 39.9266880046926 0 79.79924,-104.504776214894 39.927624804691 0 78.2728,-104.504330014895 39.9278760713573 0 77.79496,-104.503913014896 39.9282646713568 0 77.22906,-104.503556014896 39.9284702713564 0 76.8437,-104.502812281564 39.9287898713559 0 76.10745,-104.502603814898 39.9289728046889 0 75.83424,-104.502305481565 39.9295902713548 0 75.09468,-104.502156281565 39.9299106046874 0 74.71266,-104.501442081566 39.9303446046869 0 73.92621,-104.500964481567 39.9313510046853 0 72.7234,-104.500508414901 39.9315822046848 0 72.25141,-104.500122414902 39.9318572046845 0 71.79685,-104.500123081568 39.9322462046838 0 71.36017,-104.500272281568 39.9325666046834 0 70.97808,-104.500273214901 39.9330470713493 0 70.43873,-104.499768614902 39.933482404682 0 69.78371,-104.499769014902 39.9337342046816 0 69.50105,-104.499828814902 39.933871471348 0 69.33852,-104.500096814902 39.934145804681 0 68.95316,-104.500156414902 39.9342600713474 0 68.81493,-104.500157081568 39.93471780468 0 68.3011,-104.499979281568 39.9349926713463 0 67.9564,-104.499712214902 39.9352218046793 0 67.61078,-104.499385614903 39.9354966713456 0 67.19258,-104.498613681571 39.936046804678 0 66.28342,-104.497813481572 39.9374434713425 0 64.5698,-104.497575681572 39.9375124713424 0 64.35015,-104.497129614906 39.9373756046759 0 63.93512,-104.496772881573 39.9374216713425 0 63.62248,-104.496208281574 39.9375596713423 0 63.11048,-104.495495081575 39.9376976713421 0 62.47487,-104.495198014909 39.9378582046751 0 62.16118,-104.49478241491 39.9382018713413 0 61.63405,-104.494010014911 39.9385230046742 0 60.87533,-104.493861681578 39.9387062046739 0 60.63299,-104.493654281578 39.9391642046731 0 60.08851,-104.493387014912 39.9393474713394 0 59.77918,-104.492108881581 39.9394860046727 0 58.66358,-104.491811681581 39.9396236046724 0 58.36385,-104.491752414915 39.9397152046723 0 58.24897,-104.491545281582 39.940333271338 0 57.53243,-104.490624214916 39.9405858713376 0 56.68736,-104.490506614916 39.9414556046696 0 55.70576,-104.490002014917 39.9419596046688 0 54.99142,-104.490122014917 39.9425774713346 0 54.29012,-104.490003414917 39.9427836046676 0 54.03703,-104.489706281584 39.9428982713339 0 53.74978,-104.489141414919 39.942898671334 0 53.26159,-104.488576214919 39.9426932713343 0 52.72142,-104.48815961492 39.9424420046681 0 52.26404,-104.487743081587 39.9423050713349 0 51.8726,-104.486940414922 39.942328671335 0 51.17837,-104.48625688159 39.942512404668 0 50.55265,-104.485870814924 39.9428330713341 0 50.06182,-104.485514281591 39.942925071334 0 49.73684,-104.485127481591 39.9427880713342 0 49.3688600000012,-104.484354481593 39.9427202046676 0 48.69645,-104.484116681593 39.9428118713342 0 48.46661,-104.484027881593 39.943086604667 0 48.1488,-104.484088214926 39.9435900046662 0 47.58131,-104.484177414926 39.9436128046661 0 47.5000800000012,-104.484177614926 39.9437272046661 0 47.37166,-104.484475414926 39.9440244046656 0 46.9503,-104.484535681592 39.9446194713314 0 46.28027,-104.484744281592 39.9449166713309 0 45.90106,-104.484805281592 39.9459236046627 0 44.76949,-104.484924614925 39.9461752046622 0 44.46882,-104.485103214925 39.946358204662 0 44.21186,-104.485044214925 39.9466098713282 0 43.9247900000012,-104.484598881592 39.9470680046609 0 43.2824500000011,-104.484539814926 39.9472512046606 0 43.07055,-104.484510214926 39.9473886046604 0 42.91421,-104.484718614925 39.9475256713269 0 42.67733,-104.485164681591 39.94759400466 0 42.28428,-104.485165081591 39.9478228046598 0 42.02744,-104.484719881592 39.948326604659 0 41.34343,-104.484334281593 39.9490364046579 0 40.4797700000011,-104.483859014927 39.949380071324 0 39.91628,-104.483532281594 39.9495406713238 0 39.58128,-104.482640414929 39.9496558713236 0 38.79977,-104.482373614929 39.9501824713227 0 38.16526,-104.48210621493 39.9502970713226 0 37.90079,-104.48186821493 39.9502516046559 0 37.68887,-104.481451681597 39.9500688713229 0 37.27457,-104.481065214931 39.9501378713227 0 36.93173,-104.480768481598 39.9505270713223 0 36.42514,-104.480471481599 39.9507792046551 0 36.04307,-104.478688214935 39.9513070046542 0 34.39206,-104.478539614935 39.9513986713209 0 34.2275,-104.478480481602 39.9515816713205 0 34.01582,-104.478510614935 39.95190207132 0 33.65521,-104.478600014935 39.9520164713199 0 33.50534,-104.478541414935 39.952565871319 0 32.88654,-104.478482014935 39.9526344713188 0 32.79399,-104.478274481602 39.9530466046516 0 32.2978,-104.478304814935 39.9533898046511 0 31.91165,-104.478632214935 39.9536642046507 0 31.4934100000014,-104.478840814935 39.95405300465 0 31.0212100000015,-104.479049214934 39.9541672713165 0 30.80011,-104.479614414933 39.9543270046495 0 30.27983,-104.4797334816 39.9544412713161 0 30.1154,-104.479674614933 39.9548304713154 0 29.67555,-104.4795560816 39.955128071315 0 29.32613,-104.479498014934 39.9560662713136 0 28.2717500000015,-104.479082481601 39.9566388713126 0 27.53549,-104.478578214935 39.9575088713113 0 26.46607,-104.478459814935 39.9578064713108 0 26.11668,-104.478341414935 39.95833287131 0 25.51698,-104.478045014936 39.9589510713091 0 24.77727,-104.477777881603 39.9593174713085 0 24.30562,-104.477718814936 39.9595692046415 0 24.01847,-104.477630414936 39.9601642713072 0 23.34612,-104.477512081603 39.9605306046399 0 22.92237,-104.477423614937 39.9610340713057 0 22.35206,-104.476978214937 39.9615378713052 0 21.66799,-104.476354081605 39.9618816713046 0 21.00485,-104.476206014939 39.9622480046374 0 20.57418,-104.475730814939 39.9626602713034 0 19.95551,-104.47540381494 39.9628436713031 0 19.60593,-104.47513641494 39.9630956713026 0 19.24069,-104.47513701494 39.9635076046354 0 18.77827,-104.47552401494 39.9637360713018 0 18.35687,-104.47552461494 39.9641480713011 0 17.89438,-104.474990214941 39.9648350713 0 16.99553,-104.474693214941 39.9650870712995 0 16.6136,-104.474306814942 39.9653162712993 0 16.19212,-104.474098881609 39.9654766046324 0 15.93782,-104.474039881609 39.9658428046318 0 15.52359,-104.474308014942 39.966140071298 0 15.11736,-104.474575881608 39.966323004631 0 14.80796,-104.474665681608 39.9667348046303 0 14.33923,-104.474547214941 39.9669866046299 0 14.03861,-104.474369014941 39.9672842712962 0 13.6707,-104.474161414942 39.9676962712955 0 13.17465,-104.474072681609 39.9680624712949 0 12.75648,-104.474072881609 39.9682226712947 0 12.57665,-104.474728214941 39.968931604627 0 11.59998,-104.475443281607 39.9698464046255 0 10.40157,-104.47559221494 39.9699606712921 0 10.21989,-104.475830614939 39.970258004625 0 9.82769,-104.475949881606 39.9704638712913 0 9.57466,-104.476069014939 39.9705552712912 0 9.42933,-104.476188414939 39.9708526712906 0 9.07991,-104.476218681605 39.9714018712898 0 8.46285,-104.476338214938 39.9717222046227 0 8.08873,-104.476457614938 39.9720424712888 0 7.7147,-104.476459281605 39.9732096046203 0 6.40453,-104.476608281605 39.9734154712866 0 6.14001,-104.476727614938 39.9736900046195 0 5.81504,-104.476728881605 39.9745366712849 0 4.86461,-104.476402281605 39.9749488712843 0 4.32266,-104.475599681606 39.9752700046171 0 3.54122000000143,-104.475451281606 39.9754990046168 0 3.25396,-104.47533261494 39.9757966046162 0 2.90451,-104.474946681607 39.9763690046154 0 2.18062,-104.474828281608 39.9767810046147 0 1.70695,-104.474888281607 39.9771242046143 0 1.31822,-104.47512681494 39.9774902046137 0 0.85859,-104.475097881607 39.9781080712795 0 0.16455,-104.47524681494 39.9781994712792 0 0)"
